title,description,price
Durham 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Durham 1891 Census and Online Index Combined Set,Set of census images with a combined 1 year's subscription to the complete online name index that has been compiled by volunteers. The subscription gives you 200 search credits and you can buy extra credits if you run out. Better value than buying both separately.,£49.90
Durham 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Durham Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Durham Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Durham Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Essex 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Essex 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Essex 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Essex 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Essex 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Essex 1891 Census and Online Index Combined Set,Set of census images with a combined 1 year's subscription to the complete online name index that has been compiled by volunteers. The subscription gives you 200 search credits and you can buy extra credits if you run out. Better value than buying both separately.,£49.90
Essex 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Essex Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Essex Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Essex Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Flintshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Flintshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Flintshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Flintshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Flintshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Flintshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Flintshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Flintshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Flintshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Glamorganshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Glamorganshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Glamorganshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Glamorganshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Glamorganshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Glamorganshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Glamorganshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Glamorganshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Glamorganshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Gloucestershire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Gloucestershire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Gloucestershire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Gloucestershire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Gloucestershire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Gloucestershire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Gloucestershire Census Bundle - 1841, 1851, 1861 and 1871","The Gloucestershire Census bundle contains the sets for the years 1841,1851,1861 and 1871 Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Gloucestershire Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Gloucestershire Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Gloucestershire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Gloucestershire Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£149.75
Hampshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Hampshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Hampshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Hampshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Hampshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Hampshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Hampshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Hampshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Hampshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Herefordshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Herefordshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Herefordshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Herefordshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Herefordshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Herefordshire 1891 Census and  Online Index Combined Set,Set of census images with a combined 1 year's subscription to the complete online name index that has been compiled by volunteers. The subscription gives you 200 search credits and you can buy extra credits if you run out. Better value than buying both separately.,£39.90
Herefordshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Herefordshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Herefordshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Herefordshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Hertfordshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Hertfordshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Hertfordshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Hertfordshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Hertfordshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Hertfordshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Hertfordshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Hertfordshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Hertfordshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Huntingdonshire & Rutlandshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Huntingdonshire & Rutlandshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Huntingdonshire & Rutlandshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Huntingdonshire & Rutlandshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Huntingdonshire & Rutlandshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Huntingdonshire & Rutlandshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Huntingdonshire & Rutlandshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Huntingdonshire & Rutlandshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Huntingdonshire & Rutlandshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Isle of Man 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Isle of Man 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Isle of Man 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Isle of Man 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Isle of Man 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Isle of Man 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Isle of Man Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Isle of Man Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Isle of Man Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Kent 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Kent 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Kent 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Kent 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Kent 1881 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£44.95
Kent 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Kent 1891 Census and Online Index Combined Set,Set of census images with a combined 1 year's subscription to the complete online name index that has been compiled by volunteers. The subscription gives you 200 search credits and you can buy extra credits if you run out. Better value than buying both separately.,£49.90
Kent 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Kent Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Kent Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Kent Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Lancashire 1841 Census,"This is the original Census information digitised from silver high quality microfilm and scanned in greyscale to provide the best possible images. Supplied as Acrobat documents with Street and Area Indexes. Covers whole of Lancashire inc. Liverpool, Manchester and Preston.",£39.95
Lancashire 1841 Census DVD set,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£24.95
Lancashire 1851 Census,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied as Acrobat documents with Street and Area Indexes. Covers whole of Lancashire inc. Liverpool, Manchester and Preston.",£39.95
Lancashire 1851 Census DVD set,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£24.95
Lancashire 1861 Census,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied as Acrobat documents with Street and Area Indexes. Covers whole of Lancashire inc. Liverpool, Manchester and Preston.",£39.95
Lancashire 1861 Census DVD Set,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£24.95
Lancashire 1871 Census,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£39.95
Lancashire 1881 Census,"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£49.95
Lancashire 1891 Census (CD),Lancashire 1891 census: 38 CD pack of Acrobat files containing fiche images with street and area indexes. Coverage includes: Ashton Under Lyne - Barrow in Furness - Barton Upon Irwell - Blackburn _ Bolton - Burnley - Bury - Chorley - Chorlton - Clitheroe - Fylde - Garstang - Haslingden - Lancaster - Leigh - Liverpool - Lunesdale - Manchester -Oldham - Ormskirk - Prescot - Preston - Prestwich - Rochdale - Salford - Toxteth Park - Ulverston - Warrington - West Derby - Wigan,£5.00
Lancashire 1891 Census (CD),This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes. Coverage includes: Ashton Under Lyne - Barrow in Furness - Barton Upon Irwell - Blackburn _ Bolton - Burnley - Bury - Chorley - Chorlton - Clitheroe - Fylde - Garstang - Haslingden - Lancaster - Leigh - Liverpool - Lunesdale - Manchester -Oldham - Ormskirk - Prescot - Preston - Prestwich - Rochdale - Salford - Toxteth Park - Ulverston - Warrington - West Derby - Wigan,£39.95
Lancashire 1891 Census (DVD),This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Coverage includes: Ashton Under Lyne - Barrow in Furness - Barton Upon Irwell - Blackburn _ Bolton - Burnley - Bury - Chorley - Chorlton - Clitheroe - Fylde - Garstang - Haslingden - Lancaster - Leigh - Liverpool - Lunesdale - Manchester -Oldham - Ormskirk - Prescot - Preston - Prestwich - Rochdale - Salford - Toxteth Park - Ulverston - Warrington - West Derby - Wigan,£39.95
Lancashire 1891 Census (DVD),Lancashire 1891: DVD pack of Acrobat documents which contain the fiche images with street and area indexes,£5.00
Lancashire 1891 Census and Online Index Combined Set,Set of census images with a combined 1 year's subscription to the complete online name index that has been compiled by volunteers. The subscription gives you 200 search credits and you can buy extra credits if you run out. Better value than buying both separately.,£34.95
Lancashire 1901 Census (CD),"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£39.95
Lancashire 1901 Census (DVD),"This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes. Covers whole of Lancashire as enumerated at the time, including Liverpool, Manchester and Preston.",£24.95
Lancashire 1901 Census PLUS Name-index on CD,"<b>Save an extra £6.95 by buying the census set and index together.</b>

CENSUS:
This is the original Census information digitised from silver high quality microfilm and scanned in greyscale to provide the best possible images. Supplied as Acrobat documents with Street and Area Indexes. Covers whole of Lancashire inc. Liverpool, Manchester and Preston. 

INDEX:
An index to the S&N British Data Archive Census Set on CD-ROM. Fully searchable by Surname, Forename and age. Wild cards can be used anywhere within names to help you find variants. Gives Piece and Folio or Acrobat page reference.

Requires 400MB hard-disk space for full installation or can be run from CD requiring only 17MB hard-disk space.

Please note the index is designed for use on one computer only and you must have your operating system on the ""C"" drive of your PC.

The index is compatible with Windows 98/98SE/98ME/NT/2000/XP. Not compatible with MAC computers.",£47.95
"Lancashire Census Bundle - 1841, 1851, 1861 and 1871","The Lancashire Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of PDF documents which contain census page images indexed by street and area.",£119.85
"Lancashire Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Lancashire Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of PDF documents which contain census page images indexed by street and area.",£159.80
"Lancashire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Lancashire Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of PDF documents which contain census page images indexed by street and area.",£199.75
Leicestershire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Leicestershire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Leicestershire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Leicestershire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Leicestershire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Leicestershire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Leicestershire Census Bundle - 1841, 1851, 1861 and 1871","The Leicestershire Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Leicestershire Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Leicestershire Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Leicestershire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Leicestershire Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£149.75
Lincolnshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Lincolnshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Lincolnshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Lincolnshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Lincolnshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Lincolnshire 1891 Census with subscription to our online Surname Index,Set of census images with a combined 1 year's subscription to the current online name index being compiled by volunteers. Better value than buying both separately.,£44.95
Lincolnshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Lincolnshire Census Bundle - 1841, 1851, 1861 and 1871","The Lincolnshire Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Lincolnshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Lincolnshire Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Lincolnshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Lincolnshire Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£149.75
London 1841 Census,This is the original Census information digitised from silver high quality microfilm and scanned in greyscale to provide the best possible images. Supplied as PDF documents with Street and Area Indexes. Coverage includes: Paddington - Kensington - Fulham - Chelsea - Hanover Square - Westminster - Marylbone - Hampstead - Pancras - Islington - Hackney - St Giles - Strand - Holborn - London City - Shoreditch - Bethnal Green - Whitechapel - St George in East - Stepney - Mile End Old Town - Poplar - Southwark Saviour - Southwark Olave - Lambeth - Wandsworth - Camberwell - Greenwich - Lewisham - Woolwich,£39.95
London 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied as Acrobat documents with Street and Area Indexes. Coverage includes is the metropolitan area of London.,£5.00
London 1851 Census,This is the original Census information digitised from silver high quality microfilm and scanned in greyscale to provide the best possible images. Supplied as PDF documents with Street and Area Indexes. Coverage includes: Paddington - Kensington - Fulham - Chelsea - Hanover Square - Westminster - Marylbone - Hampstead - Pancras - Islington - Hackney - St Giles - Strand - Holborn - London City - Shoreditch - Bethnal Green - Whitechapel - St George in East - Stepney - Mile End Old Town - Poplar - Southwark Saviour - Southwark Olave - Lambeth - Wandsworth - Camberwell - Greenwich - Lewisham - Woolwich,£39.95
London 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied as Acrobat documents with Street and Area Indexes. Coverage includes is the metropolitan area of London.,£5.00
London 1861 Census,This is the original Census information digitised from silver high quality microfilm and scanned in greyscale to provide the best possible images. Supplied as PDF documents with Street and Area Indexes. Coverage includes: Paddington - Kensington - Fulham - Chelsea - Hanover Square - Westminster - Marylbone - Hampstead - Pancras - Islington - Hackney - St Giles - Strand - Holborn - London City - Shoreditch - Bethnal Green - Whitechapel - St George in East - Stepney - Mile End Old Town - Poplar - Southwark Saviour - Southwark Olave - Lambeth - Wandsworth - Camberwell - Greenwich - Lewisham - Woolwich,£39.95
